ProductTitle,ProductPrice(₹),link
"ASUS Marshmallow Kw100 Keyboard, Supports Up to 3 Devices, 1.6Mm Key Travel, Scissor Keys, Compact & Lightweight Keyboard, Bluetooth (Color - Green Tea Latte)","2,899",/sspa/click?ie=UTF8&spc=MToxNTczMzExNjk3NjY2MTgwOjE3MTk2NTY1ODM6c3BfYXRmOjMwMDA3MjU1NjAxMzMzMjo6MDo6&url=%2FASUS-Marshmallow-Keyboard-Lightweight-Bluetooth%2Fdp%2FB0CFF1XMT4%2Fref%3Dsr_1_1_sspa%3Fcrid%3D37E2E89ICO5GG%26dib%3DeyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa1bPtW4yB_Ts14foDz88FSsW_FLQUmWjut60wHbEaAw3FyIgWXzj79YD03kZhsO3x5Lbr15b1UOYC49l6jkbFBAJB7gcDth6LYulk4s7R-i6efr4J6_DR0lxYIoPXZFPatq4HSa7mtGuhPLGlA99GAiJ6rCdJx756VCGcEbBHzRL-KCnbl9Al2A9b58HVSgP7s.uncUYDKqEbHtfvCpSonll1ABcFohNfqnOXW9VsWkikE%26dib_tag%3Dse%26keywords%3DKeyboards%26qid%3D1719656583%26sprefix%3DKeyboards%252Caps%252C289%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"HP 150 Wired Keyboard, Quick, Comfy and Ergonomically Design, 12Fn Shortcut Keys, Plug and Play USB Connection and LED Indicator, 3 years warranty",629,/HP-Ergonomically-Connection-Indicator-664R5AA/dp/B0B71WT5XT/ref=sr_1_10?crid=37E2E89ICO5GG&dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVIPKs-KpC3dHiuHtF8RJrVa1bPtW4yB_Ts14foDz88FSsW_FLQUmWjut60wHbEaAw3FyIgWXzj79YD03kZhsO3x5Lbr15b1UOYC49l6jkbFBAJB7gcDth6LYulk4s7R-i6efr4J6_DR0lxYIoPXZFPatq4HSa7mtGuhPLGlA99GAiJ6rCdJx756VCGcEbBHzRL-KCnbl9Al2A9b58HVSgP7s.uncUYDKqEbHtfvCpSonll1ABcFohNfqnOXW9VsWkikE&dib_tag=se&keywords=Keyboards&qid=1719656583&sprefix=Keyboards%2Caps%2C289&sr=8-10
"Narayan LNT Acrylic Tilted Computer Keyboard Stand Riser for Ergonomic Typing, Keyboard Tray Holder with Silicone Non-Slip Case","2,999",/sspa/click?ie=UTF8&spc=MTozOTM4MTYxOTg2MDgyMTgwOjE3MTk2NTY3ODc6c3BfbXRmOjIwMDIxODkwNjA1Nzk4OjowOjo&url=%2FLNT-Computer-Keyboard-Ergonomic-Silicone%2Fdp%2FB0922D4FW4%2Fref%3Dsr_1_76_sspa%3Fcrid%3D37E2E89ICO5GG%26dib%3DeyJ2IjoiMSJ9.0_w0_eOPXzwHxPQYRBOj5vE52ZyV9plfWUC6sXvf81AFrtxf75IiPOHUXl7soeLmYfWLL4TdcDZyvH_l16L_3EVLMNv9-g2_Wvza2_uSPrFxKh6g2toCHehLdSd8JM5Q7BkRiG9Ql-SPrcpfh4giNzyQg7-dXLXgCpOB7eXcXtYfxtBwQPvMxS8Nowydy8puMf_iIFnrFkd2lJVgs8qPsnQHZJfygaL58weRYtEPrOE.b-qtrHUCmS5OLpftfIw_5YxxMr9V7-7b7ftkpdtcK3I%26dib_tag%3Dse%26keywords%3DKeyboards%26qid%3D1719656787%26sprefix%3DKeyboards%252Caps%252C289%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"LAPCARE Alfa Keyboard 3 with Adjustable Kickstand, Capslock Indicator and 104 Keyboard Standard Key, USB 2.0 (Black)",269,/Keyboard-Adjustable-Kickstand-Capslock-Indicator/dp/B0C8T6KQ2J/ref=sr_1_77?crid=37E2E89ICO5GG&dib=eyJ2IjoiMSJ9.0_w0_eOPXzwHxPQYRBOj5vE52ZyV9plfWUC6sXvf81AFrtxf75IiPOHUXl7soeLmYfWLL4TdcDZyvH_l16L_3EVLMNv9-g2_Wvza2_uSPrFxKh6g2toCHehLdSd8JM5Q7BkRiG9Ql-SPrcpfh4giNzyQg7-dXLXgCpOB7eXcXtYfxtBwQPvMxS8Nowydy8puMf_iIFnrFkd2lJVgs8qPsnQHZJfygaL58weRYtEPrOE.b-qtrHUCmS5OLpftfIw_5YxxMr9V7-7b7ftkpdtcK3I&dib_tag=se&keywords=Keyboards&qid=1719656787&sprefix=Keyboards%2Caps%2C289&sr=8-77
"Logitech Wave Keys Wireless Ergonomic Keyboard with Cushioned Palm Rest, Comfortable Natural Typing, Easy-Switch, Bluetooth, Logi Bolt Receiver, for Multi-OS, Windows/Mac - Graphite","5,932",/Logitech-Ergonomic-Cushioned-Comfortable-Easy-Switch/dp/B0CHB9PD4M/ref=sr_1_78?crid=37E2E89ICO5GG&dib=eyJ2IjoiMSJ9.0_w0_eOPXzwHxPQYRBOj5vE52ZyV9plfWUC6sXvf81AFrtxf75IiPOHUXl7soeLmYfWLL4TdcDZyvH_l16L_3EVLMNv9-g2_Wvza2_uSPrFxKh6g2toCHehLdSd8JM5Q7BkRiG9Ql-SPrcpfh4giNzyQg7-dXLXgCpOB7eXcXtYfxtBwQPvMxS8Nowydy8puMf_iIFnrFkd2lJVgs8qPsnQHZJfygaL58weRYtEPrOE.b-qtrHUCmS5OLpftfIw_5YxxMr9V7-7b7ftkpdtcK3I&dib_tag=se&keywords=Keyboards&qid=1719656787&sprefix=Keyboards%2Caps%2C289&sr=8-78
"Redragon Shiva K512 RGB Backlit Membrane Wired Gaming Keyboard with Multimedia Keys, 6 Extra On-Board Macro Keys, Dedicated Media Control, Detachable Wrist Rest- Black","1,999",/Redragon-Multimedia-Mechanical-Dedicated-Detachable/dp/B082KR95Z4/ref=sr_1_79?crid=37E2E89ICO5GG&dib=eyJ2IjoiMSJ9.0_w0_eOPXzwHxPQYRBOj5vE52ZyV9plfWUC6sXvf81AFrtxf75IiPOHUXl7soeLmYfWLL4TdcDZyvH_l16L_3EVLMNv9-g2_Wvza2_uSPrFxKh6g2toCHehLdSd8JM5Q7BkRiG9Ql-SPrcpfh4giNzyQg7-dXLXgCpOB7eXcXtYfxtBwQPvMxS8Nowydy8puMf_iIFnrFkd2lJVgs8qPsnQHZJfygaL58weRYtEPrOE.b-qtrHUCmS5OLpftfIw_5YxxMr9V7-7b7ftkpdtcK3I&dib_tag=se&keywords=Keyboards&qid=1719656787&sprefix=Keyboards%2Caps%2C289&sr=8-79
Amazon Basics USB Wireless Keyboard and Mouse Set with Nano Receiver,659,/Amazon-Basics-Wireless-Keyboard-Receiver/dp/B0BT7D6KPR/ref=sr_1_80?crid=37E2E89ICO5GG&dib=eyJ2IjoiMSJ9.0_w0_eOPXzwHxPQYRBOj5vE52ZyV9plfWUC6sXvf81AFrtxf75IiPOHUXl7soeLmYfWLL4TdcDZyvH_l16L_3EVLMNv9-g2_Wvza2_uSPrFxKh6g2toCHehLdSd8JM5Q7BkRiG9Ql-SPrcpfh4giNzyQg7-dXLXgCpOB7eXcXtYfxtBwQPvMxS8Nowydy8puMf_iIFnrFkd2lJVgs8qPsnQHZJfygaL58weRYtEPrOE.b-qtrHUCmS5OLpftfIw_5YxxMr9V7-7b7ftkpdtcK3I&dib_tag=se&keywords=Keyboards&qid=1719656787&sprefix=Keyboards%2Caps%2C289&sr=8-80
"MageGee 75% Mechanical Gaming Keyboard, Compact Blue Backlit Wired Gaming Keyboard with Yellow Switches, EVA Foam, Knob Control, STAR75 Portable NKRO PC Gaming Keyboard - White & Black","2,699",/MageGee-MK-STAR75-Yellow-Mechanical-Keyboard/dp/B0C16KNJCK/ref=sr_1_81?crid=37E2E89ICO5GG&dib=eyJ2IjoiMSJ9.0_w0_eOPXzwHxPQYRBOj5vE52ZyV9plfWUC6sXvf81AFrtxf75IiPOHUXl7soeLmYfWLL4TdcDZyvH_l16L_3EVLMNv9-g2_Wvza2_uSPrFxKh6g2toCHehLdSd8JM5Q7BkRiG9Ql-SPrcpfh4giNzyQg7-dXLXgCpOB7eXcXtYfxtBwQPvMxS8Nowydy8puMf_iIFnrFkd2lJVgs8qPsnQHZJfygaL58weRYtEPrOE.b-qtrHUCmS5OLpftfIw_5YxxMr9V7-7b7ftkpdtcK3I&dib_tag=se&keywords=Keyboards&qid=1719656787&sprefix=Keyboards%2Caps%2C289&sr=8-81
"FINGERS Magnifico Moonlit Wired USB Keyboard (Laser-Etched, Backlit Keys with White Color Lighting, Instant Media Access, Cable Length 1.5m with 3mm Thickness,) - Jet Black Color",-,-
"cimetech Wireless Keyboard, 2.4G Ultra-Thin Ergonomic Portable Keyboard, Silent Keyboard Compatible with Windows, Mac, Laptop, PC, Desktop - Grey","1,999",/cimetech-Wireless-Ultra-Thin-Ergonomic-Compatible/dp/B0CMGN9WYB/ref=sr_1_83?crid=37E2E89ICO5GG&dib=eyJ2IjoiMSJ9.0_w0_eOPXzwHxPQYRBOj5vE52ZyV9plfWUC6sXvf81AFrtxf75IiPOHUXl7soeLmYfWLL4TdcDZyvH_l16L_3EVLMNv9-g2_Wvza2_uSPrFxKh6g2toCHehLdSd8JM5Q7BkRiG9Ql-SPrcpfh4giNzyQg7-dXLXgCpOB7eXcXtYfxtBwQPvMxS8Nowydy8puMf_iIFnrFkd2lJVgs8qPsnQHZJfygaL58weRYtEPrOE.b-qtrHUCmS5OLpftfIw_5YxxMr9V7-7b7ftkpdtcK3I&dib_tag=se&keywords=Keyboards&qid=1719656787&sprefix=Keyboards%2Caps%2C289&sr=8-83
