JOB_title,JOB_salary,Experience_Required,Posted_on,skills_required,job_link
Data Analyst Tutor for Sustainable Development Economics Research (R- Data Manipulation),Hourly: $7.00 - $10.00 ,Intermediate,Posted 48 minutes ago,"['DataVisualization', 'DataWrangling', 'DataCleaning', 'Statistics', 'R', 'QualitativeResearch']",/jobs/span-class-highlight-Data-span-span-class-highlight-Analyst-span-Tutor-for-Sustainable-Development-Economics-Research-span-class-highlight-Data-span-Manipulation_~01b54d52e839dc5b3f/?referrer_url_path=/nx/search/jobs/
Excel Data Analyst and Charting Specialist,Fixed price,Entry Level,Posted 1 hour ago,"['DataAnalysis', 'MicrosoftExcel', 'Analytics']",/jobs/Excel-span-class-highlight-Data-span-span-class-highlight-Analyst-span-and-Charting-Specialist_~01e8f792614c82ef7d/?referrer_url_path=/nx/search/jobs/
Data Input and Analysis Using Google BigQuery or Microsoft Power BI,Fixed price,Intermediate,Posted 1 hour ago,"['DataAnalysis', 'DataVisualization']",/jobs/span-class-highlight-Data-span-Input-and-Analysis-Using-Google-BigQuery-Microsoft-Power_~01c98895de60132fa1/?referrer_url_path=/nx/search/jobs/
Data Engineer Python,Hourly,Entry Level,Posted 1 hour ago,"['DataScience', 'DataMining', 'Python', 'ETLPipeline', 'pandas']",/jobs/span-class-highlight-Data-span-Engineer-Python_~013a7bb31b0106712b/?referrer_url_path=/nx/search/jobs/
Data Analyst / Data Scraper,Hourly: $6.00 - $8.00 ,Intermediate,Posted 2 hours ago,"['DataExtraction', 'DataScraping', 'PressRelease', 'SocialMediaContent', 'MicrosoftExcel']",/jobs/span-class-highlight-Data-span-span-class-highlight-Analyst-span-span-class-highlight-Data-span-Scraper_~0104a1de1d3c091691/?referrer_url_path=/nx/search/jobs/
Inviting Research Analyst Agencies to Join Forces,Fixed price,Expert,Posted 2 hours ago,"['DataAnalysis', 'DataEntry', 'DataMining', 'QualitativeResearch', 'MarketAnalysis', 'MarketResearch', 'Report']",/jobs/Inviting-Research-span-class-highlight-Analyst-span-Agencies-Join-Forces_~018399b41f51e991e8/?referrer_url_path=/nx/search/jobs/
Information Modeller/ DBA,Hourly,Intermediate,Posted 3 hours ago,"['DatabaseOptimization', 'SQL', 'DatabaseManagement', 'DatabaseAdministration', 'DatabaseProgramming', '+2']",/jobs/Information-Modeller-DBA_~017a4dc956cb841b8c/?referrer_url_path=/nx/search/jobs/
Business Analyst,Hourly: $25.00 - $60.00 ,Expert,Posted 3 hours ago,"['DataAnalysis', 'BusinessAnalysis', 'RequirementAnalysis', 'BusinessIntelligence', 'BusinessProcessModeling', '+5']",/jobs/Business-span-class-highlight-Analyst-span_~017b5fce5a3ca2b2f8/?referrer_url_path=/nx/search/jobs/
Sports Book Analyst,Hourly: $5.00 - $35.00 ,Intermediate,Posted 3 hours ago,"['Analytics', 'Gambling', 'Sports', 'Football', 'Entertainment', 'OnlineFinancialTrading', 'FinancialPlan', '+5']",/jobs/Sports-Book-span-class-highlight-Analyst-span_~0167bfccc8158bf801/?referrer_url_path=/nx/search/jobs/
Data Scientist,Hourly: $10.00 - $25.00 ,Intermediate,Posted 4 hours ago,"['DataMining', 'DataAnalytics&VisualizationSoftware', 'Statistics', 'pandas', 'Python', 'MachineLearningModel', 'R', '+6']",/jobs/span-class-highlight-Data-span-Scientist_~01951b7104eb301bf5/?referrer_url_path=/nx/search/jobs/
