JOB_title,JOB_salary,Experience_Required,Posted_on,skills_required,job_link
Data Scientist / Machine Learning Engineer (Random Forest Specialist),Hourly,Expert,Posted 2 minutes ago,"['Python', 'Python Scikit-Learn', 'Scrapy', 'pandas', 'Random Forest', 'Machine Learning', 'Data Science']",/jobs/Data-Scientist-Machine-Learning-Engineer-Random-Forest-Specialist_~019f6c8bf50cebc4f5/?referrer_url_path=/nx/search/jobs/
Development of Custom Gang Sheet Builder Software with Image Processing,Fixed price,Expert,Posted 2 minutes ago,"['ChatGPT API', 'Vue.js', 'Flask', 'Django']",/jobs/Development-Custom-Gang-Sheet-Builder-Software-with-Image-Processing_~0183899e137368dc9c/?referrer_url_path=/nx/search/jobs/
Need code from the back end of a website,Fixed price,Expert,Posted 4 minutes ago,"['Python', 'Scripting', 'Algorithm Development', 'Data Structures', 'HTML', 'PHP', 'Web Development', 'WordPress', '+2']",/jobs/Need-code-from-the-back-end-website_~0199d91ce7b1f167b5/?referrer_url_path=/nx/search/jobs/
Computer Teacher,Hourly,Intermediate,Posted 8 minutes ago,"['HTML', 'CSS', 'React', 'JavaScript', 'PHP', 'jQuery', 'WordPress', 'Web Application', 'MySQL', 'SQL']",/jobs/Computer-Teacher_~01f5fde7f430842024/?referrer_url_path=/nx/search/jobs/
Create a Video about Crypto Trading and Memecoins,Fixed price,Expert,Posted 15 minutes ago,"['Python', 'Cryptocurrency', '2D Animation', 'Animation', 'Graphic Design']",/jobs/Create-Video-about-Crypto-Trading-and-Memecoins_~01a574fbd8f4f2e1cb/?referrer_url_path=/nx/search/jobs/
Machine Learning Expert for Self-healing OCR Detection Model,Fixed price,Expert,Posted 16 minutes ago,"['Python', 'Machine Learning', 'Deep Learning', 'TensorFlow', 'Artificial Intelligence']",/jobs/Machine-Learning-Expert-for-Self-healing-OCR-Detection-Model_~019bd8b59f7ecbd480/?referrer_url_path=/nx/search/jobs/
Scrap the Billing Info of our software,Fixed price,Intermediate,Posted 18 minutes ago,"['Python', 'Scrapy', 'Automation', 'Beautiful Soup', 'Google Sheets', 'Data Scraping', 'Data Extraction', 'API']",/jobs/Scrap-the-Billing-Info-our-software_~01fffd006c1351fde7/?referrer_url_path=/nx/search/jobs/
Create emails for ferry companies incl. saving Excel and csv files locally,Hourly,Intermediate,Posted 20 minutes ago,"['Python', 'C', 'C#', 'C++', 'Multithreaded Programming', 'Qt Creator', 'Qt Framework', 'PostgreSQL', '+5']",/jobs/Create-emails-for-ferry-companies-incl-saving-Excel-and-csv-files-locally_~017b214017006bf104/?referrer_url_path=/nx/search/jobs/
Partner & Lead Full Stack Developer Django & Flutter,Hourly,Expert,Posted 26 minutes ago,"['Python', 'Dart', 'Django', 'Flutter', 'Amazon Web Services', 'API', 'React', 'PostgreSQL', 'Integration Testing', '+1']",/jobs/Partner-Lead-Full-Stack-Developer-Django-Flutter_~0197c98d2ecbddf56f/?referrer_url_path=/nx/search/jobs/
Reverse engineer needed for legacy system,Fixed price,Intermediate,Posted 34 minutes ago,"['Python', 'Reverse Engineering', 'C++', 'Desktop Application', 'Standalone Application']",/jobs/Reverse-engineer-needed-for-legacy-system_~01a064a6a78f55ab59/?referrer_url_path=/nx/search/jobs/
